SampleID	Day	individual	Phenotype	Pheno_num	pn	Final_phenotype	ANOVA					
01-5-11	6	1	Dead	5	2	Sick	null					
02-5-20	15	2	Dead	5	2	Sick	null					
04-5-20	15	4	Dead	5	2	Sick	null					
09-5-20	15	9	Dead	5	2	Sick	null					
19-5-20	15	19	Dead	5	2	Sick	null					
21-5-20	15	21	Dead	5	2	Sick	null					
23-5-20	15	23	Dead	5	2	Sick	null					
38-6-24	15	38	Dead	5	2	Sick	null					
03-5-05	0	3	Healthy	0	0	Sick	Before					
07-5-05	0	7	Healthy	0	0	Sick	Before					
08-5-05	0	8	Healthy	0	0	Sick	null					
08-5-08	3	8	Healthy	0	0	Sick	Before					
09-5-05	0	9	Healthy	0	0	Sick	null					
09-5-08	3	9	Healthy	0	0	Sick	null					
09-5-11	6	9	Healthy	0	0	Sick	Before					
10-5-05	0	10	Healthy	0	0	Healthy	Before					
10-5-08	3	10	Healthy	0	0	Healthy	After					
10-5-11	6	10	Healthy	0	0	Healthy	null					
10-5-14	9	10	Healthy	0	0	Healthy	null					
10-5-17	12	10	Healthy	0	0	Healthy	null					
10-5-20	15	10	Healthy	0	0	Healthy	null					
14-5-05	0	14	Healthy	0	0	Sick	Before					
15-5-05	0	15	Healthy	0	0	Sick	null					
15-5-08	3	15	Healthy	0	0	Sick	null					
15-5-11	6	15	Healthy	0	0	Sick	null					
15-5-14	9	15	Healthy	0	0	Sick	Before					
16-5-05	0	16	Healthy	0	0	Sick	Before					
18-5-05	0	18	Healthy	0	0	Sick	Before					
19-5-05	0	19	Healthy	0	0	Sick	null					
19-5-08	3	19	Healthy	0	0	Sick	null					
19-5-14	9	19	Healthy	0	0	Sick	null					
19-5-17	12	19	Healthy	0	0	Sick	null					
20-5-05	0	20	Healthy	0	0	Sick	null					
20-5-08	3	20	Healthy	0	0	Sick	null					
20-5-11	6	20	Healthy	0	0	Sick	null					
20-5-14	9	20	Healthy	0	0	Sick	null					
20-5-17	12	20	Healthy	0	0	Sick	Before					
21-5-05	0	21	Healthy	0	0	Sick	Before					
22-5-05	0	22	Healthy	0	0	Sick	Before					
24-5-05	0	24	Healthy	0	0	Healthy	Before					
24-5-08	3	24	Healthy	0	0	Healthy	After					
24-5-11	6	24	Healthy	0	0	Healthy	null					
24-5-14	9	24	Healthy	0	0	Healthy	null					
24-5-17	12	24	Healthy	0	0	Healthy	null					
24-5-20	15	24	Healthy	0	0	Healthy	null					
26-5-05	0	26	Healthy	0	0	Sick	Before					
27-5-05	0	27	Healthy	0	0	Healthy	Before					
27-5-08	3	27	Healthy	0	0	Healthy	After					
27-5-11	6	27	Healthy	0	0	Healthy	null					
27-5-14	9	27	Healthy	0	0	Healthy	null					
27-5-17	12	27	Healthy	0	0	Healthy	null					
27-5-20	15	27	Healthy	0	0	Healthy	null					
28-5-05	0	28	Healthy	0	0	Sick	Before					
29-5-05	0	29	Healthy	0	0	Sick	Before					
31-6-09	0	31	Healthy	0	0	Healthy	Before					
31-6-12	3	31	Healthy	0	0	Healthy	After					
31-6-15	6	31	Healthy	0	0	Healthy	null					
31-6-18	9	31	Healthy	0	0	Healthy	null					
31-6-21	12	31	Healthy	0	0	Healthy	null					
31-6-24	15	31	Healthy	0	0	Healthy	null					
32-6-09	0	32	Healthy	0	0	Healthy	Before					
32-6-12	3	32	Healthy	0	0	Healthy	After					
32-6-15	6	32	Healthy	0	0	Healthy	null					
32-6-18	9	32	Healthy	0	0	Healthy	null					
32-6-21	12	32	Healthy	0	0	Healthy	null					
32-6-24	15	32	Healthy	0	0	Healthy	null					
33-6-09	0	33	Healthy	0	0	Healthy	Before					
33-6-12	3	33	Healthy	0	0	Healthy	After					
33-6-15	6	33	Healthy	0	0	Healthy	null					
33-6-18	9	33	Healthy	0	0	Healthy	null					
33-6-21	12	33	Healthy	0	0	Healthy	null					
33-6-24	15	33	Healthy	0	0	Healthy	null					
34-6-09	0	34	Healthy	0	0	Healthy	Before					
34-6-12	3	34	Healthy	0	0	Healthy	After					
34-6-15	6	34	Healthy	0	0	Healthy	null					
34-6-18	9	34	Healthy	0	0	Healthy	null					
34-6-21	12	34	Healthy	0	0	Healthy	null					
34-6-24	15	34	Healthy	0	0	Healthy	null					
35-6-09	0	35	Healthy	0	0	Healthy	Before					
35-6-12	3	35	Healthy	0	0	Healthy	After					
35-6-15	6	35	Healthy	0	0	Healthy	null					
35-6-18	9	35	Healthy	0	0	Healthy	null					
35-6-21	12	35	Healthy	0	0	Healthy	null					
35-6-24	15	35	Healthy	0	0	Healthy	null					
36-6-09	0	36	Healthy	0	0	Sick	Before					
37-6-09	0	37	Healthy	0	0	Sick	null					
37-6-12	3	37	Healthy	0	0	Sick	null					
37-6-18	9	37	Healthy	0	0	Sick	null					
38-6-09	0	38	Healthy	0	0	Sick	null					
38-6-12	3	38	Healthy	0	0	Sick	null					
38-6-21	12	38	Healthy	0	0	Sick	null					
01-5-05	0	1	Sick	1	1	Sick	null					
02-5-05	0	2	Sick	1	1	Sick	null					
02-5-08	3	2	Sick	2	1	Sick	null					
